voter_id,dim1,dim2,dim3,jméno,kandidátka,klub,mp_id,name,party,datum
275,7.281217894574017,-2.6377770661923186,-5.485800656636579,,,,275.0,Lumír Aschenbrenner,ODSTOPKDUADSMon,1.0
276,0.9681109831030172,7.2493044738638535,-0.47468897675456606,,,,276.0,Karel Kratochvíle,ČSSD,1.0
277,8.714081610482042,-2.718738398471115,-6.58196589036603,,,,277.0,Jiří Burian,ODS,1.0
278,-6.685241382820864,-2.5850007849337664,3.9909953291010156,,,,278.0,Václav Láska,SEN 21,1.0
280,-7.624783581422332,-1.6890102962055165,6.443888717674841,,,,280.0,Václav Hampl,KDUČSLSZ,1.0
281,3.809100469680265,-3.737005202036728,-4.563468179790512,,,,281.0,Zbyněk Linhart,STAN+SLK,1.0
282,0.9906426604481092,-3.518133406259859,-2.2477274579073763,,,,282.0,Jiří Vosecký,STAN+SLK,1.0
284,0.5406989746455221,5.917305653511248,-0.23228603927173508,,,,284.0,Emilie Třísková,ČSSD,1.0
285,-0.49074520438890823,5.02080662785116,0.3702404778172283,,,,285.0,Jaroslav Malý,ČSSD,1.0
286,-4.9194013692744685,0.7637428755146853,5.665728907897479,,,,286.0,František Bradáč,KDU-ČSL,1.0
287,-1.0744344336034353,4.8698808530368485,1.3634940935305555,,,,287.0,Pavel Štohl,ČSSD,1.0
288,-4.395427748591019,-2.8521909684037805,3.676414153407485,,,,288.0,Zdeněk Papoušek,KDU-ČSL,1.0
289,-5.350795437197434,1.04402577752036,6.512311901390281,,,,289.0,Alena Šromová,KDU-ČSL,1.0
290,-3.4513112977279143,1.6667461499503755,4.219543343069398,,,,290.0,Jiří Carbol,KDU-ČSL,1.0
291,-0.10984191670590294,7.8633393843458075,0.8980141128637709,,,,291.0,Peter Koliba,ANO 2011,1.0
293,7.119113426247793,-0.7861246242795056,-6.752755669852573,,,,293.0,Ivo Valenta,SsČR,1.0
294,-3.5486141451339184,-2.359363128695975,1.9135498815744434,,,,294.0,Václav Chaloupek,OPAT,1.0
295,1.999728967819946,7.7595893396304545,-1.4977613399968683,,,,295.0,Jaroslav Větrovský,ANO 2011,1.0
296,-5.850528977827173,-1.7143710151139993,3.6612486415365155,,,,296.0,Ladislav Kos,KDUSZ+HPP11+Pir,1.0
297,-7.454985587180394,-1.4381300318757775,6.839695558453604,,,,297.0,Renata Chmelová,KDU+Pir+DPD+LES,1.0
298,-3.086589906573398,-1.4256196320258856,1.5541848754244534,,,,298.0,Jiří Růžička,KDU+ODS+STA+TOP,1.0
299,-2.3371548308273584,-4.307771557921167,0.2579773980817252,,,,299.0,Petr Holeček,STAN,1.0
300,2.189825974071745,-4.070593728910084,-2.684160593070268,,,,300.0,Michael Canov,SLK,1.0
301,-2.025677406900813,-3.528988371247137,1.83620973784816,,,,301.0,Tomáš Czernin,KDU+ODS+TOP 09,1.0
302,-5.028408920578867,1.36000738684875,5.774325883597363,,,,302.0,Jaromíra Vítková,KDU+ODS+TOP 09,1.0
303,0.8243201992411479,8.764058046260498,-0.5500102327290325,,,,303.0,Jiří Dušek,ČSSDODSVasFaktB,1.0
304,-5.751660611461549,-1.0401237369054137,5.522392544221204,,,,304.0,Lumír Kantor,KDU+ODS+TOP 09,1.0
305,0.6488702876882391,8.718562936252832,-0.539009202303117,,,,305.0,Ladislav Václavec,ANO,1.0
306,-6.703018506866357,-1.9505425250699917,4.792694694536935,,,,306.0,Petr Orel,KDUČSLSZ,1.0
307,7.451338118420292,-3.071894183771823,-5.560450869123342,,,,307.0,Zdeněk Nytra,KDU+ODS+TOP 09,1.0
308,0.4172460814028275,7.7487728036190875,-0.8895287546662982,,,,308.0,Jiří Cieńciała,"""OSN""",1.0
309,-3.637218331328761,-0.36905941340105447,4.349239686844083,,,,309.0,Šárka Jelínková,KDU-ČSL,1.0
310,-5.128228995913434,1.2301523158992036,5.599938735911476,,,,310.0,Anna Hubáčková,KDU-ČSL,1.0
311,-3.4870221551576903,-2.449864584191347,1.9295241949500423,,,,311.0,Jan Sobotka,STAN,1.0
312,-2.0886940193931545,-1.7658256463025626,1.0438074714285823,,,,312.0,Tomáš Goláň,SEN 21,1.0
313,-2.6026095326019445,-3.0097244075816416,0.7676273843261668,,,,313.0,Jiří Drahoš,KDU+Z+STAN+TOP,1.0
314,-3.8846861897911276,-3.636450673419821,2.0814868556150214,,,,314.0,Miroslav Balatka,STAN,1.0
315,-6.886198403483527,-2.0006077811467873,3.9476118247253558,,,,315.0,Přemysl Rabas,SEN 21,1.0
316,7.176699561881152,-3.013088271160692,-5.201139958891077,,,,316.0,Pavel Karpíšek,ODS,1.0
317,8.398476696694294,-2.1324786252626713,-5.536741645829221,,,,317.0,Vladislav Vilímec,ODS,1.0
318,6.5500202951411035,-3.841399809514145,-4.961134093427301,,,,318.0,Ladislav Faktor,NK,1.0
319,0.21119000755669629,-4.948257467667167,-0.07941106010941586,,,,319.0,Pavel Fischer,NK,1.0
