mp_id,name,constituency_id,party,since,until,photo,link
243,Miloš Vystrčil,52,ODS,2010-10-23,2016-10-23,/images/senatori/vystrcilm_295.jpg,https://senat.cz/senatori/index.php?ke_dni=23.01.2011&lng=cz&par_3=243
243,Miloš Vystrčil,52,ODSSNKEDSsČRSTO,2016-10-15,2022-10-15,/images/senatori/vystrcilm_295.jpg,https://senat.cz/senatori/index.php?ke_dni=15.01.2017&lng=cz&par_3=243
243,Miloš Vystrčil,52,KDU+ODS+TOP 09,2022-10-01,2028-10-01,/images/senatori/vystrcilm_295.jpg,https://senat.cz/senatori/index.php?ke_dni=01.01.2023&lng=cz&par_3=243
53,Pavel Heřman,53,DEU,1996-11-23,2000-11-23,/images/senatori/hermanp_295.jpg,https://senat.cz/senatori/index.php?ke_dni=23.02.1997&lng=cz&par_3=53
127,Pavel Janata,53,KDU-ČSL,2000-11-19,2006-11-19,/images/senatori/janatap_295.jpg,https://senat.cz/senatori/index.php?ke_dni=19.02.2001&lng=cz&par_3=127
200,Vítězslav Jonáš,53,ODS,2006-10-28,2012-10-28,/images/senatori/jonasv_295.jpg,https://senat.cz/senatori/index.php?ke_dni=28.01.2007&lng=cz&par_3=200
256,František Bublan,53,ČSSD,2012-10-20,2018-10-20,/images/senatori/bublanf_295.jpg,https://senat.cz/senatori/index.php?ke_dni=20.01.2013&lng=cz&par_3=256
328,Hana Žáková,53,STAN,2018-10-13,2024-10-13,/images/senatori/zakovah_295.jpg,https://senat.cz/senatori/index.php?ke_dni=13.01.2019&lng=cz&par_3=328
54,Milan Špaček,54,KDU-ČSL,1996-11-23,2002-11-23,/images/senatori/spacekm_295.jpg,https://senat.cz/senatori/index.php?ke_dni=23.02.1997&lng=cz&par_3=54
137,Vladimír Železný,54,NEZ,2002-10-26,2004-07-20,/images/senatori/zeleznyv_295.jpg,https://senat.cz/senatori/index.php?ke_dni=26.01.2003&lng=cz&par_3=137
54,Milan Špaček,54,KDU-ČSL,2004-10-16,2008-10-26,/images/senatori/spacekm_295.jpg,https://senat.cz/senatori/index.php?ke_dni=16.01.2005&lng=cz&par_3=54
226,Marta Bayerová,54,KSČM,2008-10-25,2014-10-25,/images/senatori/bayerovam_295.jpg,https://senat.cz/senatori/index.php?ke_dni=25.01.2009&lng=cz&par_3=226
287,Pavel Štohl,54,ČSSD,2014-10-18,2020-10-18,/images/senatori/stohlp_295.jpg,https://senat.cz/senatori/index.php?ke_dni=18.01.2015&lng=cz&par_3=287
348,Tomáš Třetina,54,ODS+STAN+TOP 09,2020-10-10,2026-10-10,/images/senatori/tretinat_295.jpg,https://senat.cz/senatori/index.php?ke_dni=10.01.2021&lng=cz&par_3=348
55,Vlasta Svobodová,55,ODS,1996-11-23,1998-11-23,/images/senatori/svobodovav_295.jpg,https://senat.cz/senatori/index.php?ke_dni=23.02.1997&lng=cz&par_3=55
100,Tomáš Julínek,55,ODS,1998-11-21,2004-11-21,/images/senatori/julinekt_295.jpg,https://senat.cz/senatori/index.php?ke_dni=21.02.1999&lng=cz&par_3=100
100,Tomáš Julínek,55,ODS,2004-11-13,2010-11-13,/images/senatori/julinekt_295.jpg,https://senat.cz/senatori/index.php?ke_dni=13.02.2005&lng=cz&par_3=100
